Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,30,2,819,-999,1.0724,1.0602,-0.012221,0.012221,0.73794,182
100,0,0,15,1,819,-999,2.1977,2.3701,0.17242,0.17242,0.71869,134
100,0,0,30,2,819,-999,2.5849,2.6794,0.094467,0.094467,0.70503,151
100,0,0,30,2,819,-999,2.8828,2.975,0.09211,0.09211,0.74686,152
100,0,0,45,3,819,-999,0.81363,1.1688,0.35515,0.35515,0.80741,105
100,0,0,15,1,819,-999,2.235,2.0871,-0.14794,0.14794,0.65018,139
100,0,0,15,1,819,-999,0.15234,0.11463,-0.037712,0.037712,0.71816,169
100,0,0,15,1,819,-999,0.47071,0.42498,-0.04573,0.04573,0.78421,166
100,0,0,45,3,819,-999,0.91206,1.6672,0.7551,0.7551,0.98081,61
100,0,0,30,2,819,-999,0.58424,0.76605,0.1818,0.1818,0.8244,132
100,0,0,30,2,819,-999,1.2546,1.202,-0.052596,0.052596,0.98068,163
100,0,0,30,2,819,-999,2.9285,2.8464,-0.082125,0.082125,1.0454,154
100,0,0,45,3,819,-999,1.0235,0.82376,-0.1997,0.1997,1.4945,129
100,0,0,45,3,819,-999,1.7378,1.2273,-0.51045,0.51045,0.76525,86
100,0,0,30,2,819,-999,2.3089,2.141,-0.16785,0.16785,0.71442,135
100,1,1,15,1,50,0.96062,0.087955,0.69516,0.6072,0.6072,0.53511,138
100,1,1,30,2,-50,0.32072,2.5897,0.26625,0.81819,0.81819,0.60416,128
100,1,1,30,2,20,1.7034,1.3543,1.6428,0.28844,0.28844,0.79167,157
100,1,1,45,3,0,1.1037,1.1037,0.83477,-0.26894,0.26894,0.66775,159
100,1,1,30,2,0,0.66195,0.66195,0.50134,-0.16061,0.16061,0.65105,168
100,1,1,15,1,0,1.1475,1.1475,1.0822,-0.065271,0.065271,0.56461,180
100,0,1,45,3,0,0.88737,0.88737,0.67866,-0.20871,0.20871,0.88154,127
100,0,1,45,3,50,1.7824,0.90975,0.62159,-0.28816,0.28816,0.89438,114
100,0,1,45,3,50,1.816,0.94337,1.2074,0.26399,0.26399,0.87229,118
100,0,1,15,1,70,2.9481,1.7264,1.5863,-0.14007,0.14007,0.86824,140
100,0,1,30,2,20,2.5134,2.1644,2.5443,0.37994,0.37994,0.67065,102
100,0,1,15,1,0,2.8996,2.8996,2.9022,0.002575,0.002575,0.69332,192
100,0,1,30,2,-70,0.068053,1.9879,1.8288,-0.15915,0.15915,0.8008,136
100,0,1,45,3,20,1.0421,0.693,0.52784,-0.16515,0.16515,0.67127,135
100,0,1,30,2,0,2.2153,2.2153,1.986,-0.22923,0.22923,0.66186,124
100,0,1,30,2,-70,0.90098,2.8208,2.9538,0.13296,0.13296,0.82864,142
